    ocorrencia_id,fração_origem,tipo,descricao_completa,data_ocorrencia,gravidade,resolvido,acao_tomada
OC00023,FR1125,Ruído,"Barulho excessivo proveniente do apartamento 5E durante a madrugada. Música alta e vozes até às 3h da manhã, perturbando o descanso dos vizinhos.",2025-07-21 16:43,4,False,A resolver
OC00024,FR0348,Segurança,"Porta de entrada do edifício não fecha corretamente, comprometendo a segurança de todos.",2024-11-11 16:43,3,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00025,FR0235,Limpeza,Empresa de limpeza não aparece há duas semanas. Escadas e hall em péssimo estado.,2025-01-20 16:43,5,False,A resolver
OC00026,FR0347,Infiltração,"Infiltração na parede da casa de banho, provavelmente originária do apartamento 3C. Já causou danos na pintura e no rodapé.",2024-07-29 16:43,2,True,Reparação efetuada. Canalização substituída e paredes tratadas.
OC00027,FR1281,Ruído,"Barulho excessivo proveniente do apartamento 5E durante a madrugada. Música alta e vozes até às 3h da manhã, perturbando o descanso dos vizinhos.",2024-07-27 16:43,2,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00028,FR0728,Ruído,Obras não autorizadas no apartamento 2B fora do horário permitido. Utilização de berbequim e martelo após as 20h.,2024-09-23 16:43,3,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00029,FR1940,Ruído,Cão do apartamento 4D ladra constantemente durante o dia quando os proprietários estão ausentes.,2024-09-27 16:43,1,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00030,FR2152,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2025-06-02 16:43,5,False,A resolver
OC00031,FR1825,Limpeza,Empresa de limpeza não aparece há duas semanas. Escadas e hall em péssimo estado.,2025-05-28 16:43,4,False,Pendente
OC00032,FR0461,Ruído,Obras não autorizadas no apartamento 2B fora do horário permitido. Utilização de berbequim e martelo após as 20h.,2024-04-20 16:43,3,False,Pendente
OC00033,FR1087,Ruído,Cão do apartamento 3C ladra constantemente durante o dia quando os proprietários estão ausentes.,2025-07-20 16:43,3,False,Em análise pela administração
OC00034,FR1016,Vandalismo,Grafittis na entrada do bloco B. Necessária limpeza e eventual instalação de câmaras.,2024-04-08 16:43,1,True,Limpeza realizada. Apresentada queixa na polícia e reforçada vigilância.
OC00035,FR2110,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2024-12-23 16:43,3,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00036,FR1655,Vandalismo,Grafittis na entrada do bloco Torre 2. Necessária limpeza e eventual instalação de câmaras.,2024/09/07 16:43:25,2,True,Limpeza realizada. Apresentada queixa na polícia e reforçada vigilância.
OC00037,FR2469,Ruído,Cão do apartamento 5E ladra constantemente durante o dia quando os proprietários estão ausentes.,2025/01/26 16:43:25,3,False,em analise
OC00038,FR1995,Infiltração,Mancha de humidade no teto da sala com gotejamento ativo. Suspeita de rutura na canalização do apartamento superior.,2024-10-04 16:43,2,True,Reparação efetuada. Canalização substituída e paredes tratadas.
OC00039,FR1973,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2025-08-23 16:43,3,False,Pendente
OC00040,FR2471,Estacionamento,Veículo estacionado no meu lugar de garagem (lugar 24). Já aconteceu várias vezes.,2024/11/28 16:43:25,1,True,Proprietário do veículo identificado e notificado. Situação não voltou a repetir-se.
OC00041,FR0029,Ruído,Cão do apartamento 3C ladra constantemente durante o dia quando os proprietários estão ausentes.,2024-05-12 16:43,4,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00042,FR2107,Vandalismo,Grafittis na entrada do bloco a. Necessária limpeza e eventual instalação de câmaras.,2025-04-05 16:43,2,False,Pendente
OC00043,FR2301,Infiltração,"Infiltração na parede da casa de banho, provavelmente originária do apartamento 1A. Já causou danos na pintura e no rodapé.",2024-05-05 16:43,2,True,Reparação efetuada. Canalização substituída e paredes tratadas.
OC00044,FR1201,Infiltração,Mancha de humidade no teto da sala com gotejamento ativo. Suspeita de rutura na canalização do apartamento superior.,2025-02-19 16:43,4,False,Em análise pela administração
OC00045,FR1382,Limpeza,Lixo acumulado no patamar do 6º andar há vários dias. Cheiro nauseabundo.,2024-09-16 16:43,1,True,Situação regularizada. Empresa de limpeza notificada e serviço melhorado.
OC00046,FR0720,Infiltração,"Infiltração na parede da casa de banho, provavelmente originária do apartamento 4D. Já causou danos na pintura e no rodapé.",2025-06-22 16:43,4,True,Reparação efetuada. Canalização substituída e paredes tratadas.
OC00047,FR1311,Limpeza,Empresa de limpeza não aparece há duas semanas. Escadas e hall em péssimo estado.,2025-01-02 16:43,2,True,Situação regularizada. Empresa de limpeza notificada e serviço melhorado.
OC00048,FR1898,Ruído,"Barulho excessivo proveniente do apartamento 1A durante a madrugada. Música alta e vozes até às 3h da manhã, perturbando o descanso dos vizinhos.",2025-01-02 16:43,2,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00049,FR2419,Ruído,"Barulho excessivo proveniente do apartamento 3C durante a madrugada. Música alta e vozes até às 3h da manhã, perturbando o descanso dos vizinhos.",2024-05-17 16:43,2,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00050,FR0401,Limpeza,Lixo acumulado no patamar do 2º andar há vários dias. Cheiro nauseabundo.,2024-08-14 16:43,2,True,Situação regularizada. Empresa de limpeza notificada e serviço melhorado.
OC00051,FR1323,Ruído,Cão do apartamento 2B ladra constantemente durante o dia quando os proprietários estão ausentes.,2024-06-05 16:43,2,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00052,FR0184,Limpeza,Empresa de limpeza não aparece há duas semanas. Escadas e hall em péssimo estado.,2025-03-26 16:43,3,False,em analise
OC00053,FR1138,Limpeza,Lixo acumulado no patamar do 6º andar há vários dias. Cheiro nauseabundo.,2024-07-09 16:43,1,True,Situação regularizada. Empresa de limpeza notificada e serviço melhorado.
OC00054,FR2253,Limpeza,Lixo acumulado no patamar do 4º andar há vários dias. Cheiro nauseabundo.,2025-04-22 16:43,1,False,A resolver
OC00055,FR0453,Ruído,CÃO DO APARTAMENTO 3C LADRA CONSTANTEMENTE DURANTE O DIA QUANDO OS PROPRIETÁRIOS ESTÃO AUSENTES.,2024-05-14 16:43,2,1,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00056,FR1810,Humidade,Mancha de humidade no teto da sala com gotejamento ativo. Suspeita de rutura na canalização do apartamento superior.,2025-04-10 16:43,2,False,em analise
OC00057,FR0311,Vandalismo,Grafittis na entrada do bloco C. Necessária limpeza e eventual instalação de câmaras.,2025-09-09 16:43,3,False,em analise
OC00058,FR2161,Ruído,Obras não autorizadas no apartamento 1A fora do horário permitido. Utilização de berbequim e martelo após as 20h.,2025-07-09 16:43,4,False,em analise
OC00059,FR2479,Vandalismo,Grafittis na entrada do bloco A. Necessária limpeza e eventual instalação de câmaras.,2024-05-05 16:43,3,True,Limpeza realizada. Apresentada queixa na polícia e reforçada vigilância.
OC00060,FR0798,Vandalismo,Grafittis na entrada do bloco norte. Necessária limpeza e eventual instalação de câmaras.,2025-06-29 16:43,2,True,Limpeza realizada. Apresentada queixa na polícia e reforçada vigilância.
OC00061,FR1438,Limpeza,Empresa de limpeza não aparece há duas semanas. Escadas e hall em péssimo estado.,2024-04-04 16:43,4,False,em analise
OC00062,FR0838,Limpeza,Empresa de limpeza não aparece há duas semanas. Escadas e hall em péssimo estado.,2024-05-20 16:43,1,True,Situação regularizada. Empresa de limpeza notificada e serviço melhorado.
OC00063,FR2152,Vandalismo,Grafittis na entrada do bloco Sul. Necessária limpeza e eventual instalação de câmaras.,2025-07-22 16:43,3,Não,Pendente
OC00064,FR0182,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2024-10-18 16:43,1,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00065,FR2335,Segurança,"Porta de entrada do edifício não fecha corretamente, comprometendo a segurança de todos.",2024-03-29 16:43,2,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00066,FR0746,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2025-03-02 16:43,2,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00067,FR1069,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2025-05-30 16:43,4,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00068,FR2419,Infiltração,"Infiltração na parede da casa de banho, provavelmente originária do apartamento 2B. Já causou danos na pintura e no rodapé.",2025-03-05 16:43,2,False,em analise
OC00069,FR1340,Segurança,"Porta de entrada do edifício não fecha corretamente, comprometendo a segurança de todos.",2024-08-05 16:43,4,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00070,FR1835,Ruído,Cão do apartamento 2B ladra constantemente durante o dia quando os proprietários estão ausentes.,2024-11-11 16:43,2,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00071,FR1296,Parking,"Carro abandonado na garagem há meses, ocupando lugar e vertendo óleo.",2025-07-27 16:43,5,False,em analise
OC00072,FR0268,Segurança,"Porta de entrada do edifício não fecha corretamente, comprometendo a segurança de todos.",2024-12-03 16:43,2,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00073,FR1106,Segurança,"Porta de entrada do edifício não fecha corretamente, comprometendo a segurança de todos.",2025-02-26 16:43,2,N,A resolver
OC00074,FR0529,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2025-03-30 16:43,3,False,A resolver
OC00075,FR2368,Ruído,Obras não autorizadas no apartamento 5E fora do horário permitido. Utilização de berbequim e martelo após as 20h.,2024-06-05 16:43,4,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00076,FR0704,Estacionamento,"Carro abandonado na garagem há meses, ocupando lugar e vertendo óleo.",2025-08-25 16:43,2,False,Em análise pela administração
OC00077,FR0080,Infiltração,Mancha de humidade no teto da sala com gotejamento ativo. Suspeita de rutura na canalização do apartamento superior.,2025-06-27 16:43,2,False,A resolver
OC00078,FR1536,Ruído,Cão do apartamento 4D ladra constantemente durante o dia quando os proprietários estão ausentes.,2025-02-11 16:43,4,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00079,FR2289,Infiltração,Mancha de humidade no teto da sala com gotejamento ativo. Suspeita de rutura na canalização do apartamento superior.,2024-06-16 16:43,4,True,Reparação efetuada. Canalização substituída e paredes tratadas.
OC00080,FR1157,Ruído,Cão do apartamento 3C ladra constantemente durante o dia quando os proprietários estão ausentes.,2025-02-15 16:43,2,False,Pendente
OC00081,FR2200,Ruído,Obras não autorizadas no apartamento 2B fora do horário permitido. Utilização de berbequim e martelo após as 20h.,2024-06-03 16:43,3,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00082,FR1445,Segurança,"Porta de entrada do edifício não fecha corretamente, comprometendo a segurança de todos.",2025-03-30 16:43,3,False,A resolver
OC00083,FR0563,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2025-03-29 16:43,5,Sim,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00084,FR0373,Vandalismo,Caixas de correio arrombadas durante a noite. Vários moradores afetados.,2025-07-24 16:43,3,True,Limpeza realizada. Apresentada queixa na polícia e reforçada vigilância.
OC00085,FR1883,Infiltração,Mancha de humidade no teto da sala com gotejamento ativo. Suspeita de rutura na canalização do apartamento superior.,2024-11-14 16:43,2,True,Reparação efetuada. Canalização substituída e paredes tratadas.
OC00086,FR1099,estacionamento,Veículo estacionado no meu lugar de garagem (lugar 71). Já aconteceu várias vezes.,2024-05-24 16:43,1,True,Proprietário do veículo identificado e notificado. Situação não voltou a repetir-se.
OC00087,FR0121,Ruído,"Barulho excessivo proveniente do apartamento 4D durante a madrugada. Música alta e vozes até às 3h da manhã, perturbando o descanso dos vizinhos.",2025-04-05 16:43,3,False,Em análise pela administração
OC00088,FR0469,Ruído,Cão do apartamento 2B ladra constantemente durante o dia quando os proprietários estão ausentes.,2025-02-03 16:43,4,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00089,FR1291,Ruído,Cão do apartamento 4D ladra constantemente durante o dia quando os proprietários estão ausentes.,2024-12-17 16:43,2,0,Pendente
OC00090,FR2028,Ruído,Obras não autorizadas no apartamento 2B fora do horário permitido. Utilização de berbequim e martelo após as 20h.,2024-12-25 16:43,1,False,Pendente
OC00091,FR1109,Limpeza,Empresa de limpeza não aparece há duas semanas. Escadas e hall em péssimo estado.,2024-08-22 16:43,3,True,Situação regularizada. Empresa de limpeza notificada e serviço melhorado.
OC00092,FR2273,Estacionamento,Veículo estacionado no meu lugar de garagem (lugar 25). Já aconteceu várias vezes.,2025-01-18 16:43,5,True,Proprietário do veículo identificado e notificado. Situação não voltou a repetir-se.
OC00093,FR1279,VANDALISMO,Grafittis na entrada do bloco Torre 2. Necessária limpeza e eventual instalação de câmaras.,2024-03-24 16:43,4,False,em analise
OC00094,FR2239,Estacionamento,,2025-04-18 16:43,2,False,Em análise pela administração
OC00095,FR0261,Ruído,"Barulho excessivo proveniente do apartamento 4D durante a madrugada. Música alta e vozes até às 3h da manhã, perturbando o descanso dos vizinhos.",2025-04-22 16:43,4,False,A resolver
OC00096,FR1190,Infiltração,"Infiltração na parede da casa de banho, provavelmente originária do apartamento 3C. Já causou danos na pintura e no rodapé.",2024-08-09 16:43,5,False,A resolver
OC00097,FR1031,Limpeza,Lixo acumulado no patamar do 2º andar há vários dias. Cheiro nauseabundo.,2025-04-14 16:43,4,False,Pendente
OC00098,FR1712,Barulho,Cão do apartamento 3C ladra constantemente durante o dia quando os proprietários estão ausentes.,2024-09-19 16:43,4,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00099,FR2128,Infiltração,Mancha de humidade no teto da sala com gotejamento ativo. Suspeita de rutura na canalização do apartamento superior.,2025/05/22 16:43:25,2,True,Reparação efetuada. Canalização substituída e paredes tratadas.
OC00100,FR0455,Infiltração,"Infiltração na parede da casa de banho, provavelmente originária do apartamento 1A. Já causou danos na pintura e no rodapé.",2024-05-02 16:43,4,True,Reparação efetuada. Canalização substituída e paredes tratadas.
OC00101,FR1984,limpeza,,2024-08-19 16:43,1,True,Situação regularizada. Empresa de limpeza notificada e serviço melhorado.
OC00102,FR1999,Infiltração,Mancha de humidade no teto da sala com gotejamento ativo. Suspeita de rutura na canalização do apartamento superior.,2025-07-21 16:43,4,False,A resolver
OC00103,FR1876,Infiltração,"Infiltração na parede da casa de banho, provavelmente originária do apartamento 2B. Já causou danos na pintura e no rodapé.",2025-04-05 16:43,3,False,A resolver
OC00104,FR2225,Estacionamento,Veículo estacionado no meu lugar de garagem (lugar 37). Já aconteceu várias vezes.,2024-05-10 16:43,2,True,Proprietário do veículo identificado e notificado. Situação não voltou a repetir-se.
OC00105,FR2302,Vandalismo,Caixas de correio arrombadas durante a noite. Vários moradores afetados.,2024-07-03 16:43,2,False,em analise
OC00106,FR2028,Infiltração,"Infiltração na parede da casa de banho, provavelmente originária do apartamento 1A. Já causou danos na pintura e no rodapé.",2024-06-14 16:43,1,True,Reparação efetuada. Canalização substituída e paredes tratadas.
OC00107,FR0036,Limpeza,Lixo acumulado no patamar do 7º andar há vários dias. Cheiro nauseabundo.,2024-09-12 16:43,3,True,Situação regularizada. Empresa de limpeza notificada e serviço melhorado.
OC00108,FR0383,Segurança,"Porta de entrada do edifício não fecha corretamente, comprometendo a segurança de todos.",2024-09-09 16:43,4,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00109,FR1046,Ruído,Cão do apartamento 2B ladra constantemente durante o dia quando os proprietários estão ausentes.,2024-09-15 16:43,1,False,A resolver
OC00110,FR1766,Estacionamento,"Carro abandonado na garagem há meses, ocupando lugar e vertendo óleo.",2024-04-04 16:43,2,True,Proprietário do veículo identificado e notificado. Situação não voltou a repetir-se.
OC00111,FR2336,Limpeza,Lixo acumulado no patamar do 7º andar há vários dias. Cheiro nauseabundo.,2024-12-22 16:43,2,False,Pendente
OC00112,FR2368,Limpeza,Lixo acumulado no patamar do 7º andar há vários dias. Cheiro nauseabundo.,2024-10-13 16:43,2,True,Situação regularizada. Empresa de limpeza notificada e serviço melhorado.
OC00113,FR2342,Estacionamento,"Carro abandonado na garagem há meses, ocupando lugar e vertendo óleo.",2025/08/03 16:43:25,3,False,em analise
OC00114,FR2312,Ruído,Cão do apartamento 3C ladra constantemente durante o dia quando os proprietários estão ausentes.,2024-08-27 16:43,1,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00115,FR1770,Vandalismo,Caixas de correio arrombadas durante a noite. Vários moradores afetados.,08/05/2025 16:43,3,True,Limpeza realizada. Apresentada queixa na polícia e reforçada vigilância.
OC00116,FR2134,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2024-10-16 16:43,3,False,Pendente
OC00117,FR0535,Ruído,Obras não autorizadas no apartamento 4D fora do horário permitido. Utilização de berbequim e martelo após as 20h.,2024-08-11 16:43,3,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00118,FR2134,Ruído,Cão do apartamento 2B ladra constantemente durante o dia quando os proprietários estão ausentes.,2025-08-05 16:43,1,False,Pendente
OC00119,FR1234,Limpeza,Empresa de limpeza não aparece há duas semanas. Escadas e hall em péssimo estado.,2025-01-25 16:43,3,False,em analise
OC00120,FR1776,Estacionamento,,2025-06-06 16:43,3,1,Proprietário do veículo identificado e notificado. Situação não voltou a repetir-se.
OC00121,FR0062,Infiltração,Mancha de humidade no teto da sala com gotejamento ativo. Suspeita de rutura na canalização do apartamento superior.,2024-11-23 16:43,2,True,Reparação efetuada. Canalização substituída e paredes tratadas.
OC00122,FR0128,Segurança,"Porta de entrada do edifício não fecha corretamente, comprometendo a segurança de todos.",2024-07-14 16:43,4,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00123,FR1012,Vandalismo,Caixas de correio arrombadas durante a noite. Vários moradores afetados.,2024-07-28 16:43,3,False,A resolver
OC00124,FR1533,Segurança,"Porta de entrada do edifício não fecha corretamente, comprometendo a segurança de todos.",2024-05-26 16:43,4,False,em analise
OC00125,FR0983,Segurança,,2024-10-02 16:43,3,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00126,FR2307,Estacionamento,Veículo estacionado no meu lugar de garagem (lugar 74). Já aconteceu várias vezes.,2024-09-20 16:43,4,False,Pendente
OC00127,FR0722,Limpeza,Lixo acumulado no patamar do 7º andar há vários dias. Cheiro nauseabundo.,2025-07-03 16:43,4,False,A resolver
OC00128,FR0220,Ruído,"Barulho excessivo proveniente do apartamento 2B durante a madrugada. Música alta e vozes até às 3h da manhã, perturbando o descanso dos vizinhos.",2024-08-22 16:43,3,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00129,FR0740,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2024-07-08 16:43,1,False,A resolver
OC00130,FR0294,Estacionamento,Veículo estacionado no meu lugar de garagem (lugar 24). Já aconteceu várias vezes.,2025-06-24 16:43,4,False,A resolver
OC00131,FR1521,Infiltração,Mancha de humidade no teto da sala com gotejamento ativo. Suspeita de rutura na canalização do apartamento superior.,2025-07-15 16:43,3,False,A resolver
OC00132,FR0517,Vandalismo,GRAFITTIS NA ENTRADA DO BLOCO NORTE. NECESSÁRIA LIMPEZA E EVENTUAL INSTALAÇÃO DE CÂMARAS.,2024-10-16 16:43,2,True,Limpeza realizada. Apresentada queixa na polícia e reforçada vigilância.
OC00133,FR0559,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2024-04-11 16:43,4,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00134,FR1039,Limpeza,Lixo acumulado no patamar do 3º andar há vários dias. Cheiro nauseabundo.,2025-07-22 16:43,2,False,Em análise pela administração
OC00135,FR1415,Ruído,Obras não autorizadas no apartamento 3C fora do horário permitido. Utilização de berbequim e martelo após as 20h.,2025-02-11 16:43,3,False,Pendente
OC00136,FR2142,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2024-07-25 16:43,3,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00137,FR2487,Infiltração,Mancha de humidade no teto da sala com gotejamento ativo. Suspeita de rutura na canalização do apartamento superior.,2025-05-07 16:43,3,False,Pendente
OC00138,FR1716,RUÍDO,"Barulho excessivo proveniente do apartamento 1A durante a madrugada. Música alta e vozes até às 3h da manhã, perturbando o descanso dos vizinhos.",2024-04-28 16:43,5,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00139,FR0175,seguranca,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2025-03-26 16:43,2,False,Pendente
OC00140,FR0477,Limpeza,    Lixo acumulado no patamar do 8º andar há vários dias. Cheiro nauseabundo.    ,2024-07-25 16:43,2,True,Situação regularizada. Empresa de limpeza notificada e serviço melhorado.
OC00141,FR2392,Ruído,Cão do apartamento 1A ladra constantemente durante o dia quando os proprietários estão ausentes.,2024-06-05 16:43,1,False,Em análise pela administração
OC00142,FR2179,Ruído,Obras não autorizadas no apartamento 5E fora do horário permitido. Utilização de berbequim e martelo após as 20h.,2025-09-04 16:43,4,False,em analise
OC00143,FR2016,Ruído,"Barulho excessivo proveniente do apartamento 5E durante a madrugada. Música alta e vozes até às 3h da manhã, perturbando o descanso dos vizinhos.",2025-08-21 16:43,3,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00144,FR0341,Limpeza,Lixo acumulado no patamar do 2º andar há vários dias. Cheiro nauseabundo.,2024-05-26 16:43,3,True,Situação regularizada. Empresa de limpeza notificada e serviço melhorado.
OC00145,FR0482,Limpeza,Empresa de limpeza não aparece há duas semanas. Escadas e hall em péssimo estado.,2024-10-29 16:43,3,False,Pendente
OC00146,FR1382,Limpeza,Empresa de limpeza não aparece há duas semanas. Escadas e hall em péssimo estado.,2024-04-04 16:43,1,True,Situação regularizada. Empresa de limpeza notificada e serviço melhorado.
OC00147,FR1464,Vandalismo,Caixas de correio arrombadas durante a noite. Vários moradores afetados.,2024-11-05 16:43,1,True,Limpeza realizada. Apresentada queixa na polícia e reforçada vigilância.
OC00148,FR1383,Ruído,"Barulho excessivo proveniente do apartamento 4D durante a madrugada. Música alta e vozes até às 3h da manhã, perturbando o descanso dos vizinhos.",2024-04-22 16:43,2,True,Morador notificado por escrito. Situação regularizada após intervenção da administração.
OC00149,FR2306,Limpeza,Lixo acumulado no patamar do 5º andar há vários dias. Cheiro nauseabundo.,2024-09-16 16:43,2,True,Situação regularizada. Empresa de limpeza notificada e serviço melhorado.
OC00150,FR0323,Limpeza,Lixo acumulado no patamar do 2º andar há vários dias. Cheiro nauseabundo.,2025-02-04 16:43,2,False,A resolver
OC00151,FR1032,Segurança,PESSOAS ESTRANHAS A ENTRAR NO EDIFÍCIO E A PERMANECER NAS ESCADAS DURANTE A NOITE.,2024-08-04 16:43,4,False,Em análise pela administração
OC00152,FR0158,Estacionamento,Veículo estacionado no meu lugar de garagem (lugar 73). Já aconteceu várias vezes.,2025-08-03 16:43,4,False,em analise
OC00153,FR0696,Segurança,Pessoas estranhas a entrar no edifício e a permanecer nas escadas durante a noite.,2025-01-30 16:43,3,True,Problema corrigido. Sistema reparado/substituído conforme necessário.
OC00154,FR2246,Estacionamento,"Carro abandonado na garagem há meses, ocupando lugar e vertendo óleo.",2025-05-12 16:43,2,False,A resolver
OC00155,FR1628,Segurança,"Porta de entrada do edifício não fecha corretamente, comprometendo a segurança de todos.",2025-04-08 16:43,3,False,em analise
OC00156,FR0436,Estacionamento,Veículo estacionado no meu lugar de garagem (lugar 96). Já aconteceu várias vezes.,2025-03-11 16:43,2,False,A resolver
OC00157,FR1890,Ruído,"Barulho excessivo proveniente do apartamento 3C durante a madrugada. Música alta e vozes até às 3h da manhã, perturbando o descanso dos vizinhos.",2024-12-31 16:43,3,Sim,Morador notificado por escrito. Situação regularizada após intervenção da administração.
